population,n_individuals
Homo_sapiens,28
Pan_paniscus,17
Pan_troglodytes_ellioti,10
Pan_troglodytes_schweinfurthii,17
Pan_troglodytes_troglodytes,18
Pan_troglodytes_verus,31
Pan_troglodytes,139
Gorilla_gorilla,63
Gorilla_beringei,22
Gorilla_beringei_beringei,9
Gorilla_beringei_graueri,6
Gorilla_gorilla_gorilla,39
Gorilla_gorilla_diehli,1
Pongo_abelii,8
Pongo_pygmaeus,20
Macaca_cyclopis,4
Macaca_fuscata_fuscata,1
Macaca_fuscata,67
Macaca_mulatta,168
Macaca_sylvanus,2
Macaca_brunnescens,1
Macaca_hecki,5
Macaca_leonina,7
Macaca_maura,7
Macaca_nemestrina_nemestrina,5
Macaca_nemestrina,26
Macaca_nigra,4
Macaca_nigrescens,2
Macaca_radiata,13
Macaca_siberu,1
Macaca_silenus,17
Macaca_tonkeana,8
Macaca_arctoides,10
Macaca_assamensis,5
Macaca_leucogenys,4
Macaca_sinica,1
Macaca_thibetana,3
Papio_anubis,106
Papio_cynocephalus_anubishybrid,7
Papio_cynocephalus_ssp,73
Papio_cynocephalus,80
Papio_hamadryas,34
Papio_kindae,27
Papio_papio,14
Papio_ursinus,7
Papio_ursinus_ssp,6
Theropithecus_gelada,45
Erythrocebus_patas,6
Rhinopithecus_bieti,29
Rhinopithecus_brelichi,4
Rhinopithecus_roxellana,44
Pygathrix_cinerea,5
Pygathrix_nemaeus,7
Pygathrix_nigripes,4
Semnopithecus_entellus,9
Semnopithecus_hypoleucos,4
Trachypithecus_francoisi,9
Trachypithecus_geei,6
Trachypithecus_phayrei,4
Trachypithecus_poliocephalus,12
Callithrix_jacchus,12
Saguinus_oedipus,1
Saguinus_midas,4
Leontocebus_fuscicollis,4
Aotus_azarai,14
Aotus_griseimembra,4
Aotus_nancymaae,31
Aotus_vociferans,4
Cebus_albifrons,5
Cebus_unicolor,4
Sapajus_apella_macrocephalus,12
Saimiri_boliviensis_boliviensis,9
Saimiri_cassiquiarensis,9
Saimiri_ustus,10
Plecturocebus_cupreus,5
Cheracebus_lucifer,4
Cheracebus_lugens,8
